ID,biEncoder score,crossEncoder score
Apay_1,,
,tensor([0.8564]),0.984213948
Apay_11,,
,tensor([0.9654]),0.994623065
,tensor([0.9230]),0.919039965
,tensor([0.9654]),0.994623065
,tensor([0.7519]),0.698064744
,tensor([0.8719]),0.87908566
,tensor([0.8496]),0.915562034
Apay_12,,
,tensor([0.7737]),0.725505948
,tensor([0.7981]),0.769474983
,tensor([0.7930]),0.729451001
,tensor([0.7821]),0.671897054
,tensor([0.7617]),0.664457798
,tensor([0.8240]),0.780112863
,tensor([0.8219]),0.781342149
,tensor([0.8246]),0.742522717
,tensor([0.8017]),0.693655968
,tensor([0.8365]),0.763455093
,tensor([0.7899]),0.703796804
,tensor([0.7807]),0.690100074
,tensor([0.7947]),0.675337851
,tensor([0.8248]),0.765092969
,tensor([0.8066]),0.727202892
,tensor([0.8006]),0.683849633
,tensor([0.7816]),0.749194503
,tensor([0.9544]),0.945678473
,tensor([0.8729]),0.863756418
,tensor([0.9482]),0.856483221
,tensor([0.8627]),0.866571307
Apay_16,,
,tensor([0.8659]),0.934501946
,tensor([0.8529]),0.850409627
,tensor([0.8209]),0.825960755
,tensor([0.8649]),0.893905163
Apay_21,,
,tensor([0.7332]),0.949306726
,tensor([0.9066]),0.900119424
Apay_23,,
,tensor([0.7948]),0.667498887
Apay_24,,
,tensor([0.8987]),0.973171651
,tensor([0.8698]),0.909922242
,tensor([0.8691]),0.986608148
,tensor([0.8295]),0.859487116
,tensor([0.8943]),0.974512756
,tensor([0.8809]),0.883667588
,tensor([0.8757]),0.89723891
,tensor([0.4173]),0.458787292
,tensor([0.4129]),0.516503036
,tensor([0.8998]),0.513695121
,tensor([0.8297]),0.572941422
Apay_25,,
,tensor([0.4443]),0.466963917
,tensor([0.4600]),0.503020287
Apay_5,,
Apay_6,,
,tensor([0.7762]),0.962474585
,tensor([0.5280]),0.508062065
,tensor([0.4547]),0.546223819
,tensor([0.4840]),0.595210552
Apay_7,,
,tensor([0.4315]),0.656476319
,tensor([0.4675]),0.708976865
Apay_8,,
,tensor([0.7717]),0.905624807
,tensor([0.9090]),0.99665004
,tensor([0.4899]),0.404441863
,tensor([0.0203]),0.018641336
,tensor([0.1633]),0.143787846
Apay_9,,
,tensor([0.1972]),0.180531219
,tensor([0.9631]),0.864262521
FAB_1,,
,tensor([0.9345]),0.802529097
,tensor([0.6879]),0.673824847
,tensor([0.6191]),0.596248031
,tensor([0.7112]),0.758041084
,tensor([0.7194]),0.818113506
,tensor([0.7154]),0.598882794
,tensor([0.5672]),0.67172426
,tensor([0.6957]),0.661000609
,tensor([0.7112]),0.811234117
,tensor([0.6591]),0.658371508
,tensor([0.6090]),0.61648649
,tensor([0.6926]),0.732962787
,tensor([0.5957]),0.753014445
,tensor([0.6711]),0.654186904
,tensor([0.6770]),0.720394909
,tensor([0.7081]),0.706174016
,tensor([0.6866]),0.736204863
,tensor([0.6253]),0.611257851
,tensor([0.6780]),0.561970651
,tensor([0.5748]),0.676323056
,tensor([0.6728]),0.720354676
,tensor([0.6966]),0.665376127
,tensor([0.6831]),0.690204859
,tensor([0.5877]),0.737566233
,tensor([0.6765]),0.716461778
,tensor([0.6006]),0.737226188
,tensor([0.7331]),0.664093018
,tensor([0.6838]),0.717590451
,tensor([0.5696]),0.713138819
,tensor([0.6854]),0.753084719
,tensor([0.7040]),0.697392762
,tensor([0.6499]),0.637776852
,tensor([0.6628]),0.720154047
,tensor([0.6754]),0.73454988
,tensor([0.6537]),0.671464741
,tensor([0.6394]),0.664763093
,tensor([0.5743]),0.75019455
,tensor([0.6327]),0.717006683
,tensor([0.6407]),0.568699241
,tensor([0.6392]),0.645172119
,tensor([0.5957]),0.712109804
,tensor([0.6462]),0.693549752
,tensor([0.6695]),0.767062783
,tensor([0.5653]),0.556794941
,tensor([0.6780]),0.704978883
,tensor([0.6567]),0.756859303
FAB_11,,
,tensor([0.8287]),0.685642481
,tensor([0.7303]),0.556583524
FAB_162,,
,tensor([0.9068]),0.742307603
,tensor([0.8498]),0.882227659
,tensor([0.8871]),0.859054625
,tensor([0.8739]),0.695685923
,tensor([0.7085]),0.73870343
,tensor([0.8758]),0.727504075
,tensor([0.8449]),0.756248534
,tensor([0.7941]),0.501260281
FAB_163,,
,tensor([0.7628]),0.85570389
,tensor([0.7055]),0.606550753
,tensor([0.7727]),0.650600672
,tensor([0.7443]),0.559026837
FAB_174,,
,tensor([0.7760]),0.993716419
,tensor([0.7692]),0.983837843
,tensor([0.5976]),0.529267669
,tensor([0.6043]),0.576717317
,tensor([0.5792]),0.541956365
,tensor([0.5988]),0.514555573
,tensor([0.6235]),0.5648489
,tensor([0.6105]),0.56699568
,tensor([0.6477]),0.633959055
,tensor([0.5549]),0.482581168
,tensor([0.6873]),0.633637011
,tensor([0.6242]),0.544626653
,tensor([0.7104]),0.947279096
FAB_180,,
,tensor([0.7688]),0.622453332
,tensor([0.8605]),0.692688465
,tensor([0.7442]),0.616168857
,tensor([0.7410]),0.619426489
,tensor([0.7473]),0.633942306
,tensor([0.8645]),0.692358315
,tensor([0.8631]),0.704976439
,tensor([0.8405]),0.702678859
,tensor([0.8429]),0.689425588
,tensor([0.8657]),0.702935874
,tensor([0.8216]),0.667606413
,tensor([0.8470]),0.699333668
,tensor([0.8659]),0.718774378
,tensor([0.7914]),0.698987246
,tensor([0.8320]),0.669172406
,tensor([0.8690]),0.715256333
FAB_181,,
,tensor([0.9021]),0.853474319
,tensor([0.8644]),0.677007318
,tensor([0.8333]),0.663802505
,tensor([0.9282]),0.82940042
,tensor([0.9708]),0.99670732
,tensor([0.9337]),0.883013248
,tensor([0.9677]),0.996777236
,tensor([0.9103]),0.929883659
,tensor([0.9409]),0.984820008
,tensor([0.9053]),0.88837415
,tensor([0.9243]),0.847027183
,tensor([0.9046]),0.925278485
,tensor([0.8538]),0.884904861
,tensor([0.8080]),0.808673203
,tensor([0.8387]),0.8452456
